736 DHB ratio,736 Velocity average
0.429601275,0.2665
0.41563825,0.55
0.404928805,0.292
0.41348598,0.4135
0.47915215,0.5655
0.44097203,0.239
0.47335649,0.5575
0.34168642,0.975
0.3387886825,0.72125
0.3434896075,1.416
0.3286416825,0.61575
0.3454203825,1.39775
0.37610915,1.0325
0.3877656033,1.27725
0.37981336,0.8425
0.367958485,1.02525
0.40336455,1.09575
0.4156662275,0.53575
0.4696783067,1.44075
0.4686451933,1.26775
0.4574478333,1.9625
0.43004929,0.79325
0.4712941933,0.96425
0.4818036467,1.097
0.4387763133,1.18975
0.4819562033,1.47025
0.4938641267,0.9205
0.4789708167,0.99825
0.299176,0.7675
0.3006575,0.50175
0.313647,0.5
0.30345,1.42825
0.347714,1.06275
0.3318445,1.77075
0.2922905,1.0875
0.2818646667,2.3394
0.2618993333,1.3162
0.3081656667,0.816
0.30397,1.6702
0.2737583333,1.3348
0.252235,1.473833333
0.28718775,1.674666667
0.26955775,2.015166667
0.2626031333,2.704714286
0.26258024,1.413857143
0.24512584,2.9445
0.26455496,1.1578
0.2748826,1.3176
0.26430284,1.2202
0.2574242,0.8032
0.272730575,1.3562
0.27340976,1.66725
0.28234244,0.5345
0.2692084667,0.725
0.2802976,1.474
0.2744743,1.2602
0.2943783167,1.1806
0.28621845,0.764
0.2960220833,1.09175
0.2721332,1.99975
0.28081886,1.575
0.28642102,1.255
0.2845450667,0.7283333333
0.2832875,0.9636666667
0.3005750333,1.74
0.30319906,0.6003333333
0.2754492667,0.6165
0.32686175,1.656
0.305723275,1.093
0.360044575,1.4215
0.29849085,3.201
0.3245196667,0.568
0.3085755,1.2225
0.2790665,2.626
0.2959815,1.113
0.3356253333,0
0.3644255,0
0.341265,0.982
0.3811565,0.456
0.368501,0.903
0.387135,0.639
0.323332,0.376
0.486669,0.144
0.308465,0.635
0.436148,0.456
0.303206,0.266
0.293586,0.612
0.3062316667,2.385333333
0.241969,1.914666667
0.2246,1.836666667
0.2622825,0.724
0.2354855,1.231
0.2727445,2.904
0.3176446667,3.173666667
0.25050575,2.745333333
0.304958,1.506666667
0.2962965,1.435666667
0.278072,2.705333333
0.2652816667,0.7445
0.3205215,0.814
0.2908403333,0.462
0.2790505,1.993
0.3243076667,0.6925
0.2737073333,2.053
0.2907926667,0.5545
0.2979466667,1.246
0.278357,0.392
0.2910786667,0.695
0.2400978323,1.371
0.2105711303,1.095
0.214729045,1.632
0.2251708543,1.442
0.2475437133,0.065
0.247500375,1.367
0.2598437137,0.721
0.2305035,1.884
0.273844,0.065
0.2569477263,0.861
0.2454910993,0.968
0.2595595223,0.841
0.266568,0.065
0.2420141943,1.845
0.2746984577,0.551
0.2741719977,0.376
0.2535127377,0.584
0.273565327,0.52
0.2957662507,1.613
0.2564778403,1.141
0.2971586413,0.329
0.314266,2.235
0.258001942,1.799
0.271299199,3.345
0.375525,1.914
0.298115,1.184
0.319748,4.192
0.30543,0.233
0.330802,3.395
0.318258,3.744
0.348523,1.05
0.338483,4.863
0.357586,7.521
0.315286,3.097
0.354051,1.833
0.341495,1.042
0.283728,2.135
0.378453,2.239
0.386807,0.194
0.326293,1.449
0.327846,0.865
0.391634,0.985
0.291681,0.433
0.331974,0.258
0.35295,0.71
0.356727,1.871
0.435311,1.472
0.386431,1.991
0.395605,2.326
0.381424,0.52
0.383569,3.89
0.530759,1.189
0.357768,1.905
0.3843324575,0.639
0.3385150875,2.007
0.3965227375,1.323