Time,Average DHB ratio,Average Velocity ratio
T1,0.429601275,0.2665
T2,0.41563825,0.55
T3,0.404928805,0.292
T4,0.41348598,0.4135
T5,0.47915215,0.5655
T6,0.44097203,0.239
T7,0.47335649,0.5575
T8,0.34168642,0.975
T9,0.3387886825,0.72125
T10,0.3434896075,1.416
T11,0.3286416825,0.61575
T12,0.3454203825,1.39775
T13,0.37610915,1.0325
T14,0.3877656033,1.27725
T15,0.37981336,0.8425
T16,0.367958485,1.02525
T17,0.40336455,1.09575
T18,0.4156662275,0.53575
T19,0.4696783067,1.44075
T20,0.4686451933,1.26775
T21,0.4574478333,1.9625
T22,0.43004929,0.79325
T23,0.4712941933,0.96425
T24,0.4818036467,1.097
T25,0.4387763133,1.18975
T26,0.4819562033,1.47025
T27,0.4938641267,0.9205
T28,0.4789708167,0.99825
T29,0.299176,0.7675
T30,0.3006575,0.50175
T31,0.313647,0.5
T32,0.30345,1.42825
T33,0.347714,1.06275
T34,0.3318445,1.77075
T35,0.2922905,1.0875
T36,0.2818646667,2.3394
T37,0.2618993333,1.3162
T38,0.3081656667,0.816
T39,0.30397,1.6702
T40,0.2737583333,1.3348
T41,0.252235,1.473833333
T42,0.28718775,1.674666667
T43,0.26955775,2.015166667
T44,0.2626031333,2.704714286
T45,0.26258024,1.413857143
T46,0.24512584,2.9445
T47,0.26455496,1.1578
T48,0.2748826,1.3176
T49,0.26430284,1.2202
T50,0.2574242,0.8032
T51,0.272730575,1.3562
T52,0.27340976,1.66725
T53,0.28234244,0.5345
T54,0.2692084667,0.725
T55,0.2802976,1.474
T56,0.2744743,1.2602
T57,0.2943783167,1.1806
T58,0.28621845,0.764
T59,0.2960220833,1.09175
T60,0.2721332,1.99975
T61,0.28081886,1.575
T62,0.28642102,1.255
T63,0.2845450667,0.7283333333
T64,0.2832875,0.9636666667
T65,0.3005750333,1.74
T66,0.30319906,0.6003333333
T67,0.2754492667,0.6165
T68,0.32686175,1.656
T69,0.305723275,1.093
T70,0.360044575,1.4215
T71,0.29849085,3.201
T72,0.3245196667,0.568
T73,0.3085755,1.2225
T74,0.2790665,2.626
T75,0.2959815,1.113
T76,0.3356253333,0
T77,0.3644255,0
T78,0.341265,0.982
T79,0.3811565,0.456
T80,0.368501,0.903
T81,0.387135,0.639
T82,0.323332,0.376
T83,0.486669,0.144
T84,0.308465,0.635
T85,0.436148,0.456
T86,0.303206,0.266
T87,0.293586,0.612
T88,0.3062316667,2.385333333
T89,0.241969,1.914666667
T90,0.2246,1.836666667
T91,0.2622825,0.724
T92,0.2354855,1.231
T93,0.2727445,2.904
T94,0.3176446667,3.173666667
T95,0.25050575,2.745333333
T96,0.304958,1.506666667
T97,0.2962965,1.435666667
T98,0.278072,2.705333333
T99,0.2652816667,0.7445
T100,0.3205215,0.814
T101,0.2908403333,0.462
T102,0.2790505,1.993
T103,0.3243076667,0.6925
T104,0.2737073333,2.053
T105,0.2907926667,0.5545
T106,0.2979466667,1.246
T107,0.278357,0.392
T108,0.2910786667,0.695
T109,0.3287226667,NA
T110,0.2709395,NA
T111,0.321909,NA
T112,0.275958,NA
T113,0.2705955,NA
T114,0.266244,NA
T115,0.200189,NA
T116,0.26328,NA
T117,0.224271,NA
T118,0.229348,NA
T119,0.216033,NA
T120,0.207886,NA
T121,0.208468,NA
T122,0.231371,NA
T123,0.183161,NA
T124,0.2400978323,1.371
T125,0.2105711303,1.095
T126,0.214729045,1.632
T127,0.2251708543,1.442
T128,0.2475437133,0.065
T129,0.247500375,1.367
T130,0.2598437137,0.721
T131,0.2305035,1.884
T132,0.273844,0.065
T133,0.2569477263,0.861
T134,0.2454910993,0.968
T135,0.2595595223,0.841
T136,0.266568,0.065
T137,0.2420141943,1.845
T138,0.2746984577,0.551
T139,0.2741719977,0.376
T140,0.2535127377,0.584
T141,0.273565327,0.52
T142,0.2957662507,1.613
T143,0.2564778403,1.141
T144,0.2971586413,0.329
T145,0.314266,2.235
T146,0.258001942,1.799
T147,0.271299199,3.345
T148,0.375525,1.914
T149,0.298115,1.184
T150,0.319748,4.192
T151,0.30543,0.233
T152,0.330802,3.395
T153,0.318258,3.744
T154,0.348523,1.05
T155,0.338483,4.863
T156,0.357586,7.521
T157,0.315286,3.097
T158,0.354051,1.833
T159,0.341495,1.042
T160,0.283728,2.135
T161,0.378453,2.239
T162,0.386807,0.194
T163,0.326293,1.449
T164,0.327846,0.865
T165,0.391634,0.985
T166,0.291681,0.433
T167,0.331974,0.258
T168,0.35295,0.71
T169,0.356727,1.871
T170,0.435311,1.472
T171,0.386431,1.991
T172,0.395605,2.326
T173,0.381424,0.52
T174,0.383569,3.89
T175,0.530759,1.189
T176,0.357768,1.905
T177,0.3843324575,0.639
T178,0.3385150875,2.007
T179,0.3965227375,1.323
T180,0.530758,NA
T181,0.40558,NA
T182,0.398207338,NA
T183,0.43581,NA
T184,0.479216,NA
T185,NA,NA
T186,0.512743,NA
T187,0.403134,NA
T188,0.487636,NA
T189,0.492264,NA
T190,0.512722,NA
T191,0.470945,NA
T192,NA,NA
T193,NA,NA
T194,0.584719,NA